id, height
59635, 53.595930
59636, 49.127532
59637, 55.025414
59638, 60.068667
59639, 51.086182
59649, 59.025088
59650, 72.922463
59651, 67.167971
59652, 61.920769
59731, 64.274625
59771, 75.132917
59772, 77.866251
59773, 68.094176
59774, 76.630136
59775, 63.051173
59777, 96.679877
59778, 110.774933
59779, 84.703175
59780, 95.570407
59781, 74.633845
59782, 105.430600
59783, 86.431377
59784, 76.378521
59785, 102.738374
59789, 70.264117
59790, 69.816364
59791, 115.653680
59792, 117.064370
59793, 112.971956
59794, 113.586065
59795, 117.867028
59796, 118.511014
59797, 115.241389
59798, 55.039389
59996, 56.544167
59997, 60.164223
59998, 61.430135
59999, 55.199099
60000, 62.681554
60001, 62.784744
60002, 59.921591
60003, 61.015045
61255, 82.537755
61256, 68.166989
61257, 96.434111
61258, 98.044119
61259, 77.019499
61260, 69.216923
61261, 70.187579
61262, 68.467952
61263, 116.031753
61264, 106.317810
61265, 83.708026
61266, 66.856818
61267, 82.534666
61268, 60.392174
61269, 88.527555
61270, 67.409000
61271, 93.203055
61272, 110.124018
61273, 106.040559
61274, 67.268466
61275, 66.022955
61276, 69.093333
61277, 70.354843
61278, 89.059423
61279, 60.704815
61280, 71.364549
61281, 115.836649
61282, 124.844646
61284, 76.301890
61285, 61.022222
61286, 63.672400
61287, 67.098663
61288, 59.950000
61293, 62.798922
61294, 60.595103
61295, 64.346607
61296, 60.850760
61297, 51.794363
61298, 52.254583
61299, 61.416967
61300, 65.016119
61301, 58.889775
61302, 57.467616
61303, 53.842586
61304, 60.026399
61305, 58.743427
61306, 63.141796
61307, 65.253210
61308, 52.454405
61309, 53.785905
61310, 58.676399
61311, 63.422600
61312, 64.278607
61313, 61.349730
61314, 69.131223
61683, 99.227600
61684, 120.349571
61685, 118.481650
61686, 122.227727
61687, 125.880516
61688, 123.834535
61689, 111.884107
61690, 121.182065
61691, 112.192500
61692, 106.373775
61693, 106.955385
61694, 118.561539
61695, 125.090785
61696, 106.036150
61697, 123.929761
61698, 114.941702
61699, 109.052357
61700, 113.596997
61701, 128.190000
61702, 111.093999
61703, 125.580825
61704, 121.242364
61705, 124.044004
61706, 128.536816
61707, 100.950857
61708, 113.437362
61709, 112.423660
61710, 114.181136
61711, 103.688571
61712, 100.320577
61713, 116.497778
61715, 68.991092
61716, 68.951536
61717, 70.610417
61718, 71.615084
61719, 93.267152
61720, 84.766238
61721, 77.020995
61722, 81.975000
61723, 77.662500
61724, 78.445534
61725, 97.686372
61726, 84.347426
61727, 89.157617
61728, 85.346526
61729, 82.010943
61730, 74.238902
61963, 81.739919
61964, 80.478199
61966, 115.977264
61967, 112.148000
61969, 109.006554
61970, 117.961291
61972, 98.005343
61976, 83.196081
61978, 116.748189
61979, 78.494999
61980, 113.627952
61982, 109.751250
61984, 83.075964
61985, 116.182776
61990, 76.370690
61991, 113.268750
61992, 78.635000
61993, 111.120476
61994, 121.198818
61995, 118.418214
61997, 80.230573
61998, 80.107817
61999, 105.055907
62000, 114.186571
62001, 100.624444
62004, 114.348246
62007, 85.558267
62008, 103.840094
62011, 82.627886
62013, 116.162905
62014, 112.472534
62016, 119.231541
62017, 111.159149
62018, 120.339315
62019, 110.905368
62024, 105.613100
62026, 123.294649
62028, 112.616250
62029, 110.030000
62030, 117.900694
62032, 114.073663
62037, 111.515001
62039, 116.040524
62040, 108.581190
62255, 88.290856
62256, 89.217326
62258, 95.976279
62261, 89.558750
62263, 75.664001
62264, 88.395846
62265, 79.955555
62266, 94.398494
62268, 92.132500
62270, 108.819183
62272, 84.328500
62273, 78.594074
62274, 92.005258
62275, 91.403158
62276, 92.944108
62277, 89.236000
62278, 69.310820
62280, 87.317500
